Drug 1,Drug 2,Interaction Description
Sulindac,Fleroxacin,Sulindac may increase the neuroexcitatory activities of Fleroxacin.
Pirfenidone,Fleroxacin,Pirfenidone may increase the neuroexcitatory activities of Fleroxacin.
Mycophenolate mofetil,Fleroxacin,Mycophenolate mofetil may increase the neuroexcitatory activities of Fleroxacin.
Leflunomide,Fleroxacin,Leflunomide may increase the neuroexcitatory activities of Fleroxacin.
Vemurafenib,Fleroxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Fleroxacin.
Warfarin,Fleroxacin,Warfarin may increase the anticoagulant activities of Fleroxacin.
Phenprocoumon,Fleroxacin,Phenprocoumon may increase the anticoagulant activities of Fleroxacin.
Phenindione,Fleroxacin,Phenindione may increase the anticoagulant activities of Fleroxacin.
Acenocoumarol,Fleroxacin,Acenocoumarol may increase the anticoagulant activities of Fleroxacin.
Dicoumarol,Fleroxacin,Dicoumarol may increase the anticoagulant activities of Fleroxacin.
Nafamostat,Fleroxacin,Nafamostat may increase the neuroexcitatory activities of Fleroxacin.
Rosiglitazone,Fleroxacin,Rosiglitazone may increase the hypoglycemic activities of Fleroxacin.
Nimesulide,Fleroxacin,Nimesulide may increase the neuroexcitatory activities of Fleroxacin.
Acetylsalicylic acid,Fleroxacin,Acetylsalicylic acid may increase the neuroexcitatory activities of Fleroxacin.
Diflunisal,Fleroxacin,Diflunisal may increase the neuroexcitatory activities of Fleroxacin.
Azelastine,Fleroxacin,Azelastine may increase the neuroexcitatory activities of Fleroxacin.
Tranilast,Fleroxacin,Tranilast may increase the neuroexcitatory activities of Fleroxacin.
Sulfisoxazole,Fleroxacin,Sulfisoxazole may increase the hypoglycemic activities of Fleroxacin.
Chlorpropamide,Fleroxacin,Chlorpropamide may increase the hypoglycemic activities of Fleroxacin.
Canagliflozin,Fleroxacin,Canagliflozin may increase the hypoglycemic activities of Fleroxacin.
Pentamidine,Fleroxacin,Pentamidine may increase the hypoglycemic activities of Fleroxacin.
Glipizide,Fleroxacin,Glipizide may increase the hypoglycemic activities of Fleroxacin.
Disopyramide,Fleroxacin,Disopyramide may increase the hypoglycemic activities of Fleroxacin.
Tolbutamide,Fleroxacin,Tolbutamide may increase the hypoglycemic activities of Fleroxacin.
Miglitol,Fleroxacin,Miglitol may increase the hypoglycemic activities of Fleroxacin.
Sulfamethoxazole,Fleroxacin,Sulfamethoxazole may increase the hypoglycemic activities of Fleroxacin.
Sitagliptin,Fleroxacin,Sitagliptin may increase the hypoglycemic activities of Fleroxacin.
Dapagliflozin,Fleroxacin,Dapagliflozin may increase the hypoglycemic activities of Fleroxacin.
Alogliptin,Fleroxacin,Alogliptin may increase the hypoglycemic activities of Fleroxacin.
Saxagliptin,Fleroxacin,Saxagliptin may increase the hypoglycemic activities of Fleroxacin.
Sulfadiazine,Fleroxacin,Sulfadiazine may increase the hypoglycemic activities of Fleroxacin.
Nateglinide,Fleroxacin,Nateglinide may increase the hypoglycemic activities of Fleroxacin.
Gliclazide,Fleroxacin,Gliclazide may increase the hypoglycemic activities of Fleroxacin.
Pioglitazone,Fleroxacin,Pioglitazone may increase the hypoglycemic activities of Fleroxacin.
Mifepristone,Fleroxacin,Mifepristone may increase the hypoglycemic activities of Fleroxacin.
Quinine,Fleroxacin,Quinine may increase the hypoglycemic activities of Fleroxacin.
Metformin,Fleroxacin,Metformin may increase the hypoglycemic activities of Fleroxacin.
Tolazamide,Fleroxacin,Tolazamide may increase the hypoglycemic activities of Fleroxacin.
Glimepiride,Fleroxacin,Glimepiride may increase the hypoglycemic activities of Fleroxacin.
Empagliflozin,Fleroxacin,Empagliflozin may increase the hypoglycemic activities of Fleroxacin.
Repaglinide,Fleroxacin,Repaglinide may increase the hypoglycemic activities of Fleroxacin.
Glyburide,Fleroxacin,Glyburide may increase the hypoglycemic activities of Fleroxacin.
Bromocriptine,Fleroxacin,Bromocriptine may increase the hypoglycemic activities of Fleroxacin.
Seratrodast,Fleroxacin,Seratrodast may increase the neuroexcitatory activities of Fleroxacin.
Chloroquine,Fleroxacin,Chloroquine may increase the neuroexcitatory activities of Fleroxacin.
Celecoxib,Fleroxacin,Celecoxib may increase the neuroexcitatory activities of Fleroxacin.
Salicylic acid,Fleroxacin,Salicylic acid may increase the neuroexcitatory activities of Fleroxacin.
Naftifine,Fleroxacin,Naftifine may increase the neuroexcitatory activities of Fleroxacin.
Fluticasone propionate,Fleroxacin,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Fleroxacin.
Magnesium sulfate,Fleroxacin,The serum concentration of Fleroxacin can be decreased when it is combined with Magnesium sulfate.
Olopatadine,Fleroxacin,Olopatadine may increase the neuroexcitatory activities of Fleroxacin.
Fluticasone furoate,Fleroxacin,The risk or severity of adverse effects can be increased when Fluticasone furoate is combined with Fleroxacin.
Prasterone,Fleroxacin,The risk or severity of adverse effects can be increased when Prasterone is combined with Fleroxacin.
Diflorasone,Fleroxacin,The risk or severity of adverse effects can be increased when Diflorasone is combined with Fleroxacin.
Flumethasone,Fleroxacin,The risk or severity of adverse effects can be increased when Flumethasone is combined with Fleroxacin.
Desoximetasone,Fleroxacin,The risk or severity of adverse effects can be increased when Desoximetasone is combined with Fleroxacin.
Mometasone,Fleroxacin,The risk or severity of adverse effects can be increased when Mometasone is combined with Fleroxacin.
Clobetasol propionate,Fleroxacin,The risk or severity of adverse effects can be increased when Clobetasol propionate is combined with Fleroxacin.
Estrone,Fleroxacin,The risk or severity of adverse effects can be increased when Estrone is combined with Fleroxacin.
Difluprednate,Fleroxacin,The risk or severity of adverse effects can be increased when Difluprednate is combined with Fleroxacin.
Fluprednidene,Fleroxacin,The risk or severity of adverse effects can be increased when Fluprednidene is combined with Fleroxacin.
Beclomethasone dipropionate,Fleroxacin,The risk or severity of adverse effects can be increased when Beclomethasone dipropionate is combined with Fleroxacin.
Tixocortol,Fleroxacin,The risk or severity of adverse effects can be increased when Tixocortol is combined with Fleroxacin.
Fluocinonide,Fleroxacin,The risk or severity of adverse effects can be increased when Fluocinonide is combined with Fleroxacin.
Ciclesonide,Fleroxacin,The risk or severity of adverse effects can be increased when Ciclesonide is combined with Fleroxacin.
Cortisone acetate,Fleroxacin,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Fleroxacin.
Alclometasone,Fleroxacin,The risk or severity of adverse effects can be increased when Alclometasone is combined with Fleroxacin.
Fludrocortisone,Fleroxacin,The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Fleroxacin.
Flunisolide,Fleroxacin,The risk or severity of adverse effects can be increased when Flunisolide is combined with Fleroxacin.
Triamcinolone,Fleroxacin,The risk or severity of adverse effects can be increased when Triamcinolone is combined with Fleroxacin.
Fluocinolone acetonide,Fleroxacin,The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Fleroxacin.
Paramethasone,Fleroxacin,The risk or severity of adverse effects can be increased when Paramethasone is combined with Fleroxacin.
Prednicarbate,Fleroxacin,The risk or severity of adverse effects can be increased when Prednicarbate is combined with Fleroxacin.
Rimexolone,Fleroxacin,The risk or severity of adverse effects can be increased when Rimexolone is combined with Fleroxacin.
Betamethasone,Fleroxacin,The risk or severity of adverse effects can be increased when Betamethasone is combined with Fleroxacin.
Deflazacort,Fleroxacin,The risk or severity of adverse effects can be increased when Deflazacort is combined with Fleroxacin.
Desonide,Fleroxacin,The risk or severity of adverse effects can be increased when Desonide is combined with Fleroxacin.
Amcinonide,Fleroxacin,The risk or severity of adverse effects can be increased when Amcinonide is combined with Fleroxacin.
Estrone sulfate,Fleroxacin,The risk or severity of adverse effects can be increased when Estrone sulfate is combined with Fleroxacin.
Equilin,Fleroxacin,The risk or severity of adverse effects can be increased when Equilin is combined with Fleroxacin.
Ulobetasol,Fleroxacin,The risk or severity of adverse effects can be increased when Ulobetasol is combined with Fleroxacin.
Loteprednol,Fleroxacin,The risk or severity of adverse effects can be increased when Loteprednol is combined with Fleroxacin.
Halcinonide,Fleroxacin,The risk or severity of adverse effects can be increased when Halcinonide is combined with Fleroxacin.
Fluocortolone,Fleroxacin,The risk or severity of adverse effects can be increased when Fluocortolone is combined with Fleroxacin.
Flurandrenolide,Fleroxacin,The risk or severity of adverse effects can be increased when Flurandrenolide is combined with Fleroxacin.
Budesonide,Fleroxacin,The risk or severity of adverse effects can be increased when Budesonide is combined with Fleroxacin.
Difluocortolone,Fleroxacin,The risk or severity of adverse effects can be increased when Difluocortolone is combined with Fleroxacin.
Medrysone,Fleroxacin,The risk or severity of adverse effects can be increased when Medrysone is combined with Fleroxacin.
Clocortolone,Fleroxacin,The risk or severity of adverse effects can be increased when Clocortolone is combined with Fleroxacin.
Hydrocortisone,Fleroxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Fleroxacin.
Fluorometholone,Fleroxacin,The risk or severity of adverse effects can be increased when Fluorometholone is combined with Fleroxacin.
Clobetasone,Fleroxacin,The risk or severity of adverse effects can be increased when Clobetasone is combined with Fleroxacin.
Fenbufen,Fleroxacin,Fenbufen may increase the neuroexcitatory activities of Fleroxacin.
Meclofenamic acid,Fleroxacin,Meclofenamic acid may increase the neuroexcitatory activities of Fleroxacin.
Lumiracoxib,Fleroxacin,Lumiracoxib may increase the neuroexcitatory activities of Fleroxacin.
Tolmetin,Fleroxacin,Tolmetin may increase the neuroexcitatory activities of Fleroxacin.
Tenoxicam,Fleroxacin,Tenoxicam may increase the neuroexcitatory activities of Fleroxacin.
Choline magnesium trisalicylate,Fleroxacin,Choline magnesium trisalicylate may increase the neuroexcitatory activities of Fleroxacin.
Etoricoxib,Fleroxacin,Etoricoxib may increase the neuroexcitatory activities of Fleroxacin.
Suprofen,Fleroxacin,Suprofen may increase the neuroexcitatory activities of Fleroxacin.
Flurbiprofen,Fleroxacin,Flurbiprofen may increase the neuroexcitatory activities of Fleroxacin.
Indomethacin,Fleroxacin,Indomethacin may increase the neuroexcitatory activities of Fleroxacin.
Oxyphenbutazone,Fleroxacin,Oxyphenbutazone may increase the neuroexcitatory activities of Fleroxacin.
Icatibant,Fleroxacin,Icatibant may increase the neuroexcitatory activities of Fleroxacin.
Alclofenac,Fleroxacin,Alclofenac may increase the neuroexcitatory activities of Fleroxacin.
Etodolac,Fleroxacin,Etodolac may increase the neuroexcitatory activities of Fleroxacin.
Droxicam,Fleroxacin,Droxicam may increase the neuroexcitatory activities of Fleroxacin.
Apremilast,Fleroxacin,Apremilast may increase the neuroexcitatory activities of Fleroxacin.
Tolfenamic acid,Fleroxacin,Tolfenamic acid may increase the neuroexcitatory activities of Fleroxacin.
Lornoxicam,Fleroxacin,Lornoxicam may increase the neuroexcitatory activities of Fleroxacin.
Bromfenac,Fleroxacin,Bromfenac may increase the neuroexcitatory activities of Fleroxacin.
Propacetamol,Fleroxacin,Propacetamol may increase the neuroexcitatory activities of Fleroxacin.
Parecoxib,Fleroxacin,Parecoxib may increase the neuroexcitatory activities of Fleroxacin.
Phenylbutazone,Fleroxacin,Phenylbutazone may increase the neuroexcitatory activities of Fleroxacin.
Acemetacin,Fleroxacin,Acemetacin may increase the neuroexcitatory activities of Fleroxacin.
Teriflunomide,Fleroxacin,Teriflunomide may increase the neuroexcitatory activities of Fleroxacin.
Nabumetone,Fleroxacin,Nabumetone may increase the neuroexcitatory activities of Fleroxacin.
Epirizole,Fleroxacin,Epirizole may increase the neuroexcitatory activities of Fleroxacin.
Ketorolac,Fleroxacin,Ketorolac may increase the neuroexcitatory activities of Fleroxacin.
Salsalate,Fleroxacin,Salsalate may increase the neuroexcitatory activities of Fleroxacin.
Aceclofenac,Fleroxacin,Aceclofenac may increase the neuroexcitatory activities of Fleroxacin.
Niflumic acid,Fleroxacin,Niflumic acid may increase the neuroexcitatory activities of Fleroxacin.
Zaltoprofen,Fleroxacin,Zaltoprofen may increase the neuroexcitatory activities of Fleroxacin.
Naproxen,Fleroxacin,Naproxen may increase the neuroexcitatory activities of Fleroxacin.
Pimecrolimus,Fleroxacin,Pimecrolimus may increase the neuroexcitatory activities of Fleroxacin.
Antipyrine,Fleroxacin,Antipyrine may increase the neuroexcitatory activities of Fleroxacin.
Meloxicam,Fleroxacin,Meloxicam may increase the neuroexcitatory activities of Fleroxacin.
Clonixin,Fleroxacin,Clonixin may increase the neuroexcitatory activities of Fleroxacin.
Piroxicam,Fleroxacin,Piroxicam may increase the neuroexcitatory activities of Fleroxacin.
Fenoprofen,Fleroxacin,Fenoprofen may increase the neuroexcitatory activities of Fleroxacin.
Oxaprozin,Fleroxacin,Oxaprozin may increase the neuroexcitatory activities of Fleroxacin.
Salicylamide,Fleroxacin,Salicylamide may increase the neuroexcitatory activities of Fleroxacin.
Loxoprofen,Fleroxacin,Loxoprofen may increase the neuroexcitatory activities of Fleroxacin.
Zileuton,Fleroxacin,Zileuton may increase the neuroexcitatory activities of Fleroxacin.
